,,,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,#NAME?
426,Jared Rhoden,Projected,6,12.4,1.8,5.4,2.5,3,1.6,6.3,2.8,1.2,0.8,1.5,3.3,16.2,0.482,0.34,0.829,rhodeja01
427,Nick Richards,Projected,5.7,9.3,0.1,0.4,3.2,4.2,3.8,12,1.4,0.5,1.5,2,3.8,14.7,0.612,0.333,0.744,richani01
428,Josh Richardson,Projected,5,11.7,2.1,6.1,1.7,1.9,0.9,4.2,3.5,1.2,0.5,1.6,2.8,13.7,0.426,0.342,0.885,richajo01
429,Zaccharie Risacher,Projected,7.1,15,2.4,6.6,2.2,3,1.7,5.5,2,1.1,0.7,1.8,2.8,18.9,0.475,0.37,0.73,risacza01
430,Liam Robbins,Projected,5,11.2,1.5,4.5,2.7,4,2.4,6.9,3.3,1.2,0.9,2.5,3.5,14.2,0.446,0.338,0.671,robbili01
431,Duncan Robinson,Projected,5.8,13.1,3.6,9.3,1.2,1.4,0.4,3.5,3.5,0.8,0.2,1.8,2.9,16.3,0.438,0.388,0.874,robindu01
432,Mitchell Robinson,Projected,4.4,7.4,0.3,0.8,1.6,2.9,5.7,11.6,1.6,1.6,1.9,1.3,3,10.6,0.59,0.365,0.554,robinmi01
433,Orlando Robinson,Projected,5.4,11.6,1,2.7,2.5,3.2,3.7,9.8,3.7,0.9,0.8,2.2,4.3,14.2,0.463,0.357,0.772,robinor01
434,Jeremiah Robinson-Earl,Projected,4.9,10.5,1.7,4.8,1.5,1.8,3,8.8,2.6,1.1,0.3,1.5,2.4,12.9,0.464,0.347,0.821,robinje02
435,David Roddy,Projected,5.3,12,1.7,5.3,1.7,2.3,1.5,6.7,2.7,1,0.6,1.8,2.2,13.9,0.439,0.316,0.73,roddyda01
436,Ryan Rollins,Projected,6,12.1,2.1,5.2,2,2.4,1.1,5.2,4.6,1.9,0.8,2.4,3.6,16.1,0.494,0.414,0.8,rolliry01
437,Jackson Rowe,Projected,6,12.9,2,5.9,2.4,3.4,1.8,6.8,3.7,1.6,0.6,1.8,2.8,16.5,0.467,0.343,0.699,roweja01
438,Terry Rozier,Projected,6.5,15.6,2.3,7,2.4,2.9,0.9,4.8,4.6,1,0.3,1.8,1.8,17.6,0.413,0.322,0.847,roziete01
439,Rayan Rupert,Projected,4.5,10.8,1.5,4.7,1.7,2.2,1.8,5.7,2.9,1.1,0.3,2,2.9,12.2,0.415,0.33,0.779,ruperra01
440,D'Angelo Russell,Projected,6.6,15.4,2.9,8.1,2.7,3.2,0.5,3.8,6.9,1.2,0.5,2.5,2.5,18.7,0.427,0.361,0.828,russeda01
441,Matt Ryan,Projected,5.2,12.5,3,7.7,1.6,2,0.8,4.7,2.5,0.8,0.3,1.7,2.6,15.2,0.421,0.395,0.842,ryanma01
442,Domantas Sabonis,Projected,7.7,13.1,0.8,1.9,3.4,4.7,3.7,13.7,6.9,0.8,0.5,3.1,3.3,19.6,0.588,0.402,0.735,sabondo01
443,Tidjane Salaün,Projected,3.8,10.3,1.8,5.8,2.1,2.8,2,8.2,2.4,0.9,0.5,1.7,2.4,11.4,0.366,0.305,0.736,salauti01
444,Adama Sanogo,Projected,6.7,13.4,1.5,4,2.6,3.5,3.7,9,3.2,1,0.6,2.1,2.6,17.4,0.498,0.372,0.757,sanogad01
445,Gui Santos,Projected,4.5,9.4,1.7,5,1.7,2.3,3.2,8.1,3.8,1.2,0.5,1.9,4,12.4,0.476,0.349,0.752,santogu01
446,Dario Šarić,Projected,5.5,12.2,2,5.7,2.3,2.9,2.3,8.6,4.2,1.1,0.4,2.5,3.6,15.3,0.447,0.357,0.815,saricda01
447,Alex Sarr,Projected,6.7,16.1,2.1,6.6,2.3,3.3,2.5,8.7,3.4,0.9,2,2.2,2.8,17.8,0.414,0.326,0.7,sarral01
448,Marcus Sasser,Projected,6.1,13.3,2.5,6.5,1.8,2.2,0.7,3.6,5.9,1.4,0.3,2.3,2.9,16.5,0.455,0.383,0.848,sassema01
449,Baylor Scheierman,Projected,4.5,11.2,2.3,7,1.4,1.8,1.8,6.3,3.4,1.5,0.4,1.4,2.3,12.7,0.401,0.333,0.771,scheiba01
450,Dennis Schröder,Projected,5.7,13.7,2,5.8,3,3.5,0.5,3.5,6.6,1,0.2,2.3,2.8,16.3,0.415,0.348,0.835,schrode01
451,Alperen Şengün,Projected,8.7,16.7,0.5,1.6,4.3,6.1,3.7,11.4,5.5,1.3,0.9,2.8,3.3,22.2,0.52,0.285,0.704,sengual01
452,Brice Sensabaugh,Projected,6.8,14.6,3.6,8.6,1.9,2.1,1.1,5.7,3,1.1,0.3,2.6,2.7,18.9,0.462,0.414,0.884,sensabr01
453,Collin Sexton,Projected,8.5,17.4,2.2,5.5,4.8,5.5,1.3,3.7,5.7,1,0.2,3,2.9,23.9,0.485,0.401,0.858,sextoco01
454,Landry Shamet,Projected,5.4,12.1,2.8,7.4,1.3,1.6,0.7,3.4,2.2,1.1,0.3,1.3,2.9,14.8,0.445,0.376,0.779,shamela01
455,Terrence Shannon Jr.,Projected,6,12.5,1.5,4,2.1,2.6,1.3,5.6,3.6,0.9,0.6,1.7,2.8,15.6,0.483,0.362,0.802,shannte01
456,Day'Ron Sharpe,Projected,6.6,12.3,0.5,1.7,2.5,3.6,5.7,13.2,3.5,1.4,1.6,2.5,4.5,16.2,0.538,0.298,0.702,sharpda01
457,Shaedon Sharpe,Projected,7.6,16.5,2.3,7,3,3.8,1.2,5.4,3.2,1,0.3,2.3,2.2,20.5,0.459,0.331,0.796,sharpsh01
458,Jamal Shead,Projected,5.2,12.4,1.8,5.4,1.5,1.9,0.8,3.3,7.5,1.4,0.3,2.7,3.7,13.8,0.421,0.336,0.777,sheadja01
459,Ben Sheppard,Projected,3.9,9.2,2.1,6,1,1.1,1.2,5.1,2.6,1.2,0.4,0.8,3.6,10.9,0.427,0.343,0.864,sheppbe01
460,Reed Sheppard,Projected,5.1,13.1,2.6,7.3,1.1,1.4,1.1,4.9,4.2,1.8,0.9,2,2.8,13.9,0.388,0.354,0.805,sheppre01
461,Pascal Siakam,Projected,8.7,16.8,1.5,4.2,3.5,4.8,1.9,7.5,4.2,0.9,0.5,1.8,2.7,22.4,0.515,0.369,0.738,siakapa01
462,Ben Simmons,Projected,4.1,7.9,0.2,0.6,0.9,1.4,1.7,8.2,8.5,1.3,0.8,3.1,3.5,9.3,0.522,0.359,0.66,simmobe01
463,Anfernee Simons,Projected,7.7,17.7,3.4,9.1,3,3.3,0.5,3.3,5.3,0.8,0.1,2.3,2,21.7,0.434,0.373,0.9,simonan01
464,KJ Simpson,Projected,4.8,12.9,1.5,5.5,1.9,2.3,1.7,5.1,4.7,1.4,0.3,2.3,2.4,13.1,0.376,0.279,0.817,simpskj01
465,Jaylen Sims,Projected,5.3,11.6,2,5.3,3.1,3.9,1.4,4.7,3.9,1.1,0.6,2.3,2.9,15.6,0.457,0.377,0.791,simsja01
466,Jericho Sims,Projected,3.1,5.2,0.3,0.7,0.9,1.3,3.6,10.1,2,0.6,1.1,1.6,3.4,7.4,0.602,0.364,0.697,simsje01
467,Marcus Smart,Projected,5.4,13.1,2.4,7.1,2.5,3.3,0.9,3.9,5.7,2,0.5,2.9,3,15.7,0.412,0.336,0.76,smartma01
468,Dru Smith,Projected,4.8,10,2,4.6,1.5,2,1.6,5.3,3.6,2.2,0.8,2,3.6,13.2,0.48,0.44,0.779,smithdr01
469,Jabari Smith Jr.,Projected,5.5,12.2,2.1,5.7,2.3,2.8,2.1,8.8,1.6,0.7,0.9,1.3,2.7,15.4,0.453,0.363,0.821,smithja05
470,Jalen Smith,Projected,7.3,14.5,2.4,6.7,2.7,3.5,3.4,12.1,2.5,0.7,1.5,1.5,3.7,19.7,0.506,0.349,0.77,smithja04
471,Nick Smith Jr.,Projected,6,14.6,2.8,7.6,1.2,1.3,0.6,3.8,3.8,0.5,0.3,2,2.2,16,0.411,0.371,0.899,smithni01
472,Tolu Smith,Projected,6.7,13.5,1.8,4.9,2.6,3.4,2.3,7.4,3.5,1.1,0.7,2.2,3,17.9,0.499,0.366,0.765,smithto05
473,Tyler Smith,Projected,6.8,13.9,2.9,6.9,2.3,2.9,1.8,7.1,2.9,1.1,0.9,2.2,2.9,18.7,0.487,0.413,0.778,smithty02
474,Jeremy Sochan,Projected,6.3,12.7,1,3.1,2.2,2.9,2.8,8.6,3.8,1.1,0.7,2.2,3.1,15.8,0.499,0.319,0.735,sochaje01
475,Cam Spencer,Projected,5.5,12.3,2.5,6.7,2.7,2.9,1.7,5.3,4.6,1.3,0.4,1.4,3,16.1,0.443,0.369,0.905,spencca01
476,Pat Spencer,Projected,5.9,13.8,1.2,4.1,1.9,2.5,2,6.6,5.8,1.6,0.5,2.4,2.8,14.9,0.429,0.293,0.756,spencpa01
477,Jaden Springer,Projected,4.4,10.4,1.2,4.4,2.6,3.4,1.9,6,3.4,2.2,0.7,1.9,4,12.7,0.426,0.278,0.767,sprinja01
478,Isaiah Stevens,Projected,6.1,13.3,2,5.6,2.5,3.1,1.6,6.9,3.9,1.4,0.7,2,2.6,16.6,0.459,0.352,0.784,steveis01
479,Lamar Stevens,Projected,6.1,13.4,1.3,4.1,2.2,2.9,1.7,7.6,2.1,1.2,0.9,1.6,2.9,15.7,0.457,0.32,0.758,stevela01
480,Isaiah Stewart,Projected,4.7,9.1,1,2.8,1.8,2.4,2.8,9.3,2.7,0.7,1.9,1.7,3.7,12.3,0.524,0.361,0.763,stewais01
481,Julian Strawther,Projected,5.6,13,2.5,7.1,1.9,2.4,0.5,4.1,2.5,1.1,0.5,1.5,3.7,15.7,0.435,0.349,0.809,strawju01
482,Max Strus,Projected,4.9,11.4,2.9,8,1.1,1.4,1.2,5.6,4.2,0.9,0.4,1.6,2.8,13.8,0.429,0.366,0.812,strusma01
483,Jalen Suggs,Projected,6.5,14.6,2.6,7.4,2.8,3.4,1,4.8,4.2,1.8,1,2.9,3.5,18.4,0.444,0.357,0.822,suggsja01
484,Cole Swider,Projected,5.5,13.5,2.8,8.3,1.2,1.6,1.2,5.8,2.3,0.9,0.6,1.6,2.5,15.1,0.41,0.338,0.749,swideco01
485,Jae'Sean Tate,Projected,4.4,9.4,1,3.1,1.7,2.4,2.5,6.9,2.9,1.5,0.5,1.5,4.7,11.6,0.471,0.329,0.698,tateja01
486,Jayson Tatum,Projected,9.1,19.7,3.3,9.2,5.3,6.4,0.8,8.4,5.4,1,0.6,2.7,2.1,26.7,0.461,0.355,0.825,tatumja01
487,Terry Taylor,Projected,5.3,10.9,1.2,3.7,1.8,2.3,2.5,6.7,3.1,1,0.6,1.7,3,13.6,0.487,0.337,0.766,taylote01
488,Garrett Temple,Projected,4,10.8,1.4,5,2,2.4,1.6,5.3,4.1,1.9,0.5,1.8,3.4,11.5,0.373,0.287,0.827,templga01
489,Dalen Terry,Projected,4.5,9.9,1.3,4,1.8,2.6,1.5,5.2,3.8,1.6,0.7,1.8,4,12.2,0.459,0.336,0.702,terryda01
490,Daniel Theis,Projected,4.7,9.4,0.9,2.7,1.7,2.2,2.6,8.7,3,0.9,1.4,1.6,4.1,11.9,0.493,0.312,0.789,theisda01
491,Cam Thomas,Projected,8.9,19.9,2.7,7.4,5.3,6.2,0.6,4,3.8,0.8,0.2,2.4,2.2,25.9,0.45,0.365,0.868,thomaca02
492,Amen Thompson,Projected,6.4,11.5,0.5,1.7,2.8,4,3.3,9.5,4.3,1.7,1.3,2.2,2.9,16,0.556,0.27,0.698,thompam01
493,Ausar Thompson,Projected,6.3,12,0.5,2,2.2,3.4,2.9,8.6,3.4,2.2,1.2,2,4.1,15.3,0.523,0.242,0.648,thompau01
494,Klay Thompson,Projected,7.1,16.9,4,10.3,1.6,1.7,0.7,4.4,2.7,0.9,0.5,1.8,1.8,19.7,0.417,0.385,0.897,thompkl01
495,Tristan Thompson,Projected,4.5,9,0.4,1.3,1.2,3.3,3.5,11.6,3.1,0.6,1,1.8,3.7,10.6,0.495,0.313,0.364,thomptr01
496,JT Thor,Projected,4.2,9.3,1.3,3.9,1.4,2.1,2.1,6.7,1.7,0.9,1.1,1.2,2.6,11.1,0.447,0.342,0.698,thorjt01
497,Matisse Thybulle,Projected,3.9,8.9,2,5.4,0.8,1.2,1.1,4.4,2.5,2.8,1.1,1.2,2.3,10.5,0.435,0.371,0.669,thybuma01
498,Xavier Tillman Sr.,Projected,4.5,10.1,0.8,3.3,1.1,2,2.4,7.7,2.7,1.7,1.2,1.6,2.8,10.9,0.441,0.248,0.58,tillmxa01
499,Drew Timme,Projected,6.4,14,1.6,5.2,1.9,2.7,2.1,8.3,3.3,0.8,0.4,2.1,2.9,16.2,0.457,0.306,0.704,timmedr01
500,Nae'Qwan Tomlin,Projected,6.6,14.7,1.8,5.6,3.1,4.1,2.6,8.2,3.2,0.9,0.7,1.8,3.4,18.2,0.452,0.321,0.762,tomlina01
501,Jacob Toppin,Projected,5.6,12.1,2.1,5.2,1.8,2.2,1.7,6.8,3.6,1.1,0.5,1.8,2.4,15.1,0.464,0.398,0.798,toppija01
502,Obi Toppin,Projected,7.1,13.3,2.4,6.5,1.9,2.5,1.5,7.1,2.9,1,0.7,1.5,2.7,18.6,0.535,0.375,0.78,toppiob01
503,Karl-Anthony Towns,Projected,8.8,17,2.1,5.2,4.6,5.5,2.6,11.6,3.3,0.9,0.7,2.9,3.6,24.3,0.515,0.412,0.839,townska01
504,Armel Traoré,Projected,5.5,12.4,1.5,5,2.1,3.4,1.5,7.1,3,1.5,0.8,1.9,2.8,14.6,0.441,0.292,0.632,armeltr01
505,Luke Travers,Projected,4.9,11.5,1.3,4.9,2,2.4,2.3,7.2,3.8,1,0.6,2.5,2.6,13,0.422,0.274,0.81,travelu01
506,Gary Trent Jr.,Projected,5.9,13.7,3.2,8,1.6,2,0.5,3.4,1.9,1.4,0.2,0.9,2.1,16.8,0.433,0.404,0.822,trentga02
507,Oscar Tshiebwe,Projected,6.2,11.5,0.8,2.1,3.1,4.1,4.7,13.2,2.3,1.6,0.4,1.6,3.1,16.3,0.54,0.364,0.757,tshieos01
508,P.J. Tucker,Projected,2.5,6,1.2,3.3,0.8,0.9,1.8,5.8,1.6,0.9,0.5,1,3.7,7.1,0.424,0.375,0.798,tuckepj01
509,Myles Turner,Projected,7.1,14.2,2.3,6.1,3.5,4.5,1.6,8.2,1.9,0.8,2.4,2,3.4,19.9,0.499,0.382,0.774,turnemy01
510,Hunter Tyson,Projected,4.8,11.7,2.1,6.5,2,2.6,2,7,2.4,1,0.6,1.5,3.7,13.7,0.412,0.326,0.765,tysonhu01
511,Jaylon Tyson,Projected,5.5,12.2,1.7,4.8,1.8,2.3,2.6,7.5,3.7,1.1,0.4,2,3.6,14.6,0.45,0.359,0.794,tysonja01
512,Stanley Umude,Projected,4.7,11.5,2.1,5.9,2.5,3.1,1.4,6.5,2.5,1.1,1.2,1.7,3.6,14.1,0.409,0.365,0.811,umudest01
513,Jonas Valančiūnas,Projected,7.8,14.3,0.5,1.7,3.2,3.8,3.9,13.8,3.5,0.7,1.1,2.6,4.2,19.2,0.543,0.294,0.835,valanjo01
514,Jarred Vanderbilt,Projected,4.3,8.4,0.7,2.3,1.6,2.5,3.3,10.2,2.9,1.9,0.5,1.8,3.5,10.8,0.508,0.317,0.652,vandeja01
515,Fred VanVleet,Projected,5.3,13.5,2.8,7.9,2.3,2.8,0.5,3.9,6.4,1.5,0.6,1.6,2.5,15.8,0.393,0.356,0.838,vanvlfr01
516,Devin Vassell,Projected,7.5,16.4,2.8,7.5,2.1,2.6,0.6,4.6,3.8,1.4,0.5,1.7,1.7,19.9,0.459,0.376,0.798,vassede01
517,Gabe Vincent,Projected,4.2,10.3,2.4,7,0.7,0.9,0.6,2.6,2.6,1.2,0.3,1.2,3.4,11.4,0.403,0.341,0.77,vincega01
518,Nikola Vučević,Projected,8.2,16.2,1.7,4.8,1.7,2.2,2.7,11.1,3.8,0.9,0.8,1.8,2.6,19.9,0.505,0.358,0.807,vucevni01
519,Tristan Vukcevic,Projected,8,16,2.5,6.9,3.5,4.5,1.8,8.7,3.1,0.9,1.5,2.6,3.9,22,0.497,0.37,0.785,vukcetr01
520,Dean Wade,Projected,3.4,8.1,2.3,6.3,0.7,1.1,1.4,7,2.1,1.2,0.7,0.8,3,9.8,0.42,0.368,0.647,wadede01
521,Franz Wagner,Projected,8.9,18.6,1.8,5.7,4.5,5.2,1.1,6,4.7,1.3,0.4,2.3,2.6,24,0.478,0.308,0.864,wagnefr01
522,Moritz Wagner,Projected,8.2,14.5,1.4,4.1,4.4,5.7,2.6,8.8,2.7,1.2,0.6,2.6,3.8,22.2,0.564,0.344,0.774,wagnemo01
523,Jabari Walker,Projected,5.5,11.1,1.2,3.4,2.6,3.5,2.9,10.2,1.9,1.2,0.4,1.5,3.7,14.7,0.491,0.352,0.739,walkeja01
524,Jarace Walker,Projected,5.4,11.2,2.3,5.6,1.5,2.1,0.9,7,3.6,1.6,0.8,2.2,3.3,14.5,0.476,0.411,0.708,walkeja02
525,Lonnie Walker IV,Projected,6.9,16,3.2,8.7,1.9,2.4,0.6,4.6,3.1,1,0.6,1.8,2.3,19,0.432,0.37,0.798,walkelo01
526,Cason Wallace,Projected,4.7,9.6,1.7,4.3,0.7,0.9,1.3,4.5,3.2,2.1,0.7,1.1,2.7,11.8,0.491,0.389,0.806,wallaca01
527,Keaton Wallace,Projected,5.1,12,2,5.8,1.2,1.4,0.8,4.4,5.4,1.8,0.7,2.3,2.8,13.4,0.423,0.34,0.875,wallake01
528,Jordan Walsh,Projected,3.7,8.9,1.5,5,1.2,1.7,2,6.6,2.4,1.2,0.9,1.6,2.8,10.2,0.42,0.309,0.699,walshjo01
529,Ja'Kobe Walter,Projected,5.5,12.8,2.2,6,2.3,2.8,1.9,5.6,2.9,1.4,0.4,1.6,3,15.4,0.427,0.364,0.802,walteja01
530,Kel'el Ware,Projected,6.7,11.9,1,3.1,1.3,1.9,2.9,11.7,1.8,1,1.7,1.5,2.7,15.7,0.557,0.336,0.715,wareke01
531,P.J. Washington,Projected,6,13.3,2,5.6,2.3,3.2,1.5,7.6,2.6,1.2,1.1,2,2.7,16.2,0.449,0.354,0.718,washipj01
532,TyTy Washington Jr.,Projected,5.3,13.3,1.6,5.8,1.6,2.3,1.2,5.1,4.2,1.2,0.3,1.5,2.1,13.8,0.396,0.282,0.691,washity02
533,Lindy Waters III,Projected,4.8,12,3.1,8.6,0.7,0.9,1,5.3,2.7,1.1,0.6,1.1,2.9,13.5,0.4,0.361,0.772,waterli01
534,Trendon Watford,Projected,6.5,13.1,1.2,3.3,3.3,4.3,1.7,7,4.2,1.1,0.6,2.8,3.8,17.6,0.497,0.359,0.772,watfotr01
535,Anton Watson,Projected,6.3,13.5,1.8,5.1,2.3,2.9,1.7,6.5,3.9,1.3,0.7,2.2,3,16.7,0.47,0.353,0.783,watsoan02
536,Peyton Watson,Projected,4.8,10,1.1,3.3,2,2.9,1.2,5.6,2.2,1.1,2,1.3,2.8,12.8,0.483,0.346,0.7,watsope01
537,Jaylen Wells,Projected,5.3,12,2.5,6.8,2,2.5,1.6,5,2.6,0.8,0.2,1.3,2.5,15,0.44,0.364,0.824,wellsja01
538,Victor Wembanyama,Projected,9.6,19.8,2.9,8.1,4.2,5.2,2.3,12.3,4.3,1.4,4.1,3.7,2.5,26.2,0.483,0.355,0.822,wembavi01
539,Blake Wesley,Projected,4.5,10,0.9,3,2.1,3.2,0.9,4,6.1,1.6,0.4,2.6,2.9,12.1,0.453,0.307,0.665,weslebl01
540,Russell Westbrook,Projected,6.5,14.8,1.5,4.7,2.7,4,1.8,6.7,7.5,1.7,0.6,4,3.1,17.2,0.441,0.307,0.663,westbru01
541,Phillip Wheeler,Projected,5.5,14.1,1.6,6.1,2.4,2.9,1.7,6.7,3.5,1.2,0.9,1.8,2.3,15.1,0.394,0.268,0.812,wheelph02
542,Coby White,Projected,7.1,15.6,2.9,7.8,3.4,3.9,0.5,4.3,4.9,0.9,0.2,2.3,2.3,20.6,0.457,0.377,0.882,whiteco01
543,Derrick White,Projected,5.8,13.1,3.3,8.6,2,2.4,0.9,4.8,5.1,1,1.2,1.8,2.2,17,0.447,0.383,0.855,whitede01
544,Cam Whitmore,Projected,8.1,17.5,2.9,7.9,2.7,3.6,1.7,7,2.2,1.3,0.6,1.9,2.2,21.8,0.464,0.37,0.737,whitmca01
545,Aaron Wiggins,Projected,6.9,13.6,2.4,5.9,1.6,2,1.7,6,2.8,1.3,0.4,1.5,2.3,17.7,0.504,0.4,0.818,wiggiaa01
546,Andrew Wiggins,Projected,7.1,15.7,2.3,6.1,3.2,4.3,1.8,5.6,2.8,1.1,0.9,1.8,2.3,19.6,0.45,0.369,0.754,wiggian01
547,Alondes Williams,Projected,6.5,13.5,2,5.6,2.5,3.1,1.5,6.2,3.9,1.1,0.8,2.2,2.8,17.4,0.479,0.364,0.792,willial06
548,Brandon Williams,Projected,7,14,1.8,4.7,3.7,4.6,1.1,4.8,5.3,1.5,0.5,2.6,2.4,19.5,0.499,0.377,0.81,willibr03
549,Cody Williams,Projected,3.4,9.3,1.3,4.7,1.2,1.6,1,4.3,2.3,0.9,0.6,1.5,3.1,9.3,0.364,0.287,0.751,willico04
550,Grant Williams,Projected,4.5,9.9,2.1,5.5,2,2.5,1.5,5.8,2.9,0.9,0.7,1.8,3.6,13.1,0.456,0.377,0.784,willigr01
551,Jalen Williams,Projected,8.7,17.2,1.8,4.8,3.4,4.3,0.9,5.6,5.4,1.6,0.7,2.2,2.6,22.8,0.509,0.386,0.802,willija06
552,Jaylin Williams,Projected,4.5,10.1,2.5,6.2,1.4,1.7,1.9,10.6,4.9,1.1,1.1,1.5,3.6,12.8,0.447,0.397,0.78,willija07
553,Jeenathan Williams,Projected,6.7,14,1.5,5,1.9,2.7,1.8,5.2,2.9,1.5,0.7,2.4,3.2,16.7,0.478,0.305,0.689,willije02
554,Kenrich Williams,Projected,5.2,11,2,5.2,0.8,1.2,2.1,7.4,3.2,1.3,0.4,1.3,3.5,13.3,0.478,0.383,0.681,willike04
555,Mark Williams,Projected,7.9,13.1,0.2,0.6,3.7,4.8,4.1,13.1,3,1.1,1.6,2,3.2,19.8,0.606,0.32,0.787,willima07
556,Patrick Williams,Projected,4.9,11.5,2.1,5.5,1.5,2,1.2,5.5,2.6,1.2,0.9,1.8,2.2,13.4,0.428,0.376,0.764,willipa01
557,Robert Williams,Projected,5.5,9.1,0.5,1.4,1.7,2.2,3.3,10.9,2.5,1.3,2.4,1.8,3.2,13.2,0.6,0.355,0.793,williro04
558,Vince Williams Jr.,Projected,4.7,10.9,2,5.9,2.2,2.7,1.6,7.2,4.2,1.1,0.7,2.3,3.2,13.6,0.436,0.334,0.8,willivi01
559,Ziaire Williams,Projected,5.2,12.4,2.3,6.8,2.3,2.8,1.4,6.6,2.3,1.4,0.6,1.8,3.3,15.1,0.421,0.339,0.823,willizi02
560,Zion Williamson,Projected,10.8,18.8,0.3,0.8,5.9,8.6,2.5,7.7,6,1.4,0.9,3.3,2.9,27.8,0.572,0.33,0.69,willizi01
561,Jalen Wilson,Projected,4.5,10.9,2.1,6,2.4,2.9,1.5,5.3,2.7,0.7,0.2,1.4,2.8,13.5,0.412,0.343,0.821,wilsoja03
562,James Wiseman,Projected,6.6,11.5,0.4,1.2,2.6,3.6,3.2,10.3,2.1,0.5,1.2,2.1,4.2,16.3,0.577,0.329,0.733,wisemja01
563,Isaiah Wong,Projected,5.9,13.9,1.9,4.9,3.1,4.1,1.8,5.2,3.9,1.4,0.3,2.3,2.8,16.8,0.424,0.381,0.754,wongis01
564,Delon Wright,Projected,3.5,8.8,1.3,4,1.4,1.9,1.4,4.4,4.8,2.1,0.6,1.2,1.7,9.6,0.395,0.314,0.74,wrighde01
565,Guerschon Yabusele,Projected,5.4,10.9,2,5.2,1.9,2.7,2.5,7.4,2.9,1.1,0.5,1.7,3.1,14.7,0.495,0.376,0.727,yabusgu01
566,Jahmir Young,Projected,6.1,12.2,1.9,5.1,2.5,3.1,1.6,6.2,4.5,1.1,0.6,2,2.7,16.6,0.498,0.376,0.81,youngja05
567,Trae Young,Projected,7.7,18.2,2.9,8.2,6.5,7.4,0.5,3.2,11,1.2,0.2,4.4,1.9,24.7,0.421,0.35,0.871,youngtr01
568,Ivica Zubac,Projected,7.5,12,0.1,0.2,2.3,3.3,4,13.2,2.6,0.7,1.3,1.7,2.7,17.4,0.626,0.365,0.684,zubaciv01