R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
1,2,Nikola Jokic,C,DEN,74,35.7,0.579(10.9/18.9),0.808(4.9/6.0),2.1,28.8,12.7,10.3,1.6,0.8,3.2,17.68
2,4.3,Shai Gilgeous-Alexander,PG,OKC,74,34.1,0.527(11.1/21.0),0.886(7.8/8.8),2.1,32.1,5.3,6.3,1.7,1,2.3,15.98
3,3.6,Victor Wembanyama,C,SA,65,32.4,0.470(8.6/18.4),0.827(4.1/5.0),2.9,24.3,11,3.7,1.1,3.7,3.7,14.97
4,5.2,Luka Doncic,"PG,SG",LAL,70,35.8,0.473(10.4/22.0),0.785(6.5/8.3),3.8,31.1,8.7,8.8,1.6,0.5,3.8,11.34
5,5.4,Giannis Antetokounmpo,"PF,C",MIL,70,34.7,0.607(12.0/19.8),0.633(6.8/10.8),0.4,31.1,11.8,6.8,0.9,1.1,3.4,10.95
6,9.7,Anthony Davis,"PF,C",DAL,63,34.5,0.521(9.4/18.0),0.787(5.6/7.1),0.8,25.1,11.8,3.5,1.2,2.1,2.2,10.71
7,8.3,Cade Cunningham,"PG,SG",DET,70,35.2,0.463(9.8/21.1),0.856(4.6/5.4),2.2,26.4,5.9,9.3,1,0.8,4.1,8.42
8,7.8,Anthony Edwards,"PG,SG",MIN,79,36.1,0.449(9.3/20.6),0.837(5.6/6.7),4.1,28.3,5.9,5.1,1.3,0.6,3.3,8.42
9,10.6,Karl-Anthony Towns,"PF,C",NY,69,33.8,0.516(8.4/16.3),0.846(4.5/5.3),2.1,23.4,11.8,3.1,0.9,0.7,2.8,8.27
10,15.3,James Harden,"PG,SG",LAC,75,34.8,0.425(6.2/14.6),0.874(5.4/6.2),2.8,20.6,5.5,8.5,1.3,0.8,3.6,8.19
11,12.8,Devin Booker,"PG,SG",PHO,72,36.6,0.476(9.1/19.2),0.890(5.9/6.6),2.4,26.5,4.3,7.6,0.9,0.3,2.8,8.07
12,12.5,Trae Young,PG,ATL,72,36,0.428(7.8/18.1),0.867(6.5/7.5),3.1,25.1,3,11.4,1.3,0.2,4.6,8.03
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
13,19,Kevin Durant,"SF,PF",HOU,65,34,0.524(9.1/17.4),0.848(4.5/5.3),2.2,25,5.9,4.7,0.8,1,3.1,7.99
14,19.9,Tyrese Maxey,PG,PHI,65,37.6,0.444(9.4/21.2),0.872(4.9/5.6),3.2,27,3.7,6.3,1.5,0.5,2.2,7.88
15,17.1,Stephen Curry,PG,GS,68,32,0.449(8.1/18.1),0.928(4.0/4.3),4.4,24.7,4.4,5.7,0.9,0.4,2.8,7.8
16  1,12.3,Domantas Sabonis,C,SAC,76,35.2,0.580(7.5/13.0),0.757(3.1/4.1),0.9,19.1,13.9,6.6,0.8,0.5,3,7.45
17  1,29.7,LaMelo Ball,"PG,SG",CHA,50,32.2,0.413(8.6/20.9),0.849(4.2/4.9),3.8,25.3,6.1,7.8,1.3,0.3,3.7,6.8
18  1,20.5,Donovan Mitchell,"PG,SG",CLE,72,31.8,0.449(8.4/18.7),0.843(4.4/5.2),3.3,24.5,4.6,5.3,1.4,0.4,2.3,6.13
19  3,21.5,LeBron James,"SF,PF",LAL,49,33.9,0.526(9.3/17.6),0.764(3.9/5.1),2.1,24.5,7.4,8.1,1.1,0.5,3.5,6.04
20,20.1,Evan Mobley,"PF,C",CLE,70,30.6,0.558(7.4/13.3),0.721(3.0/4.2),1.2,19.1,9.6,3.3,0.9,1.5,2.1,5.92
21,37.2,Derrick White,"PG,SG",BOS,74,33.2,0.444(6.3/14.2),0.868(1.8/2.1),3.4,17.8,5,5.6,1,1.1,1.6,5.72
22,40.4,Jamal Murray,"PG,SG",DEN,68,34.8,0.474(8.0/16.9),0.873(3.1/3.5),2.4,21.5,4.1,6,1.2,0.6,2.2,5.63
23,22.8,Jalen Brunson,PG,NY,68,34.4,0.483(9.5/19.7),0.835(5.5/6.5),2.4,26.8,3,7.2,0.9,0.2,2.4,5.4
24,25.5,Amen Thompson,"PG,SG,SF",HOU,72,34.3,0.553(6.0/10.8),0.690(2.6/3.8),0.5,15.1,8.6,5.7,1.6,1.3,2.1,5.3
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
25,26,Scottie Barnes,"SG,SF,PF",TOR,69,33.9,0.459(7.5/16.2),0.766(3.4/4.5),1.4,19.8,8.1,6,1.4,1.2,2.8,5.3
26,33.3,De'Aaron Fox,"PG,SG",SA,68,35.2,0.466(8.7/18.7),0.796(4.2/5.2),2.3,23.9,4.6,5.9,1.6,0.4,2.7,5.2
27,22.7,Jalen Williams,"SF,PF",OKC,70,33,0.484(8.1/16.8),0.801(3.5/4.4),1.9,21.7,5,5.1,1.4,0.7,2,5.16
28,44.6,Trey Murphy III,"SF,PF",NO,65,34.3,0.444(7.5/16.8),0.868(4.0/4.6),3.2,22,5.1,3.8,1.1,0.6,2.1,4.99
29,40.1,Jaren Jackson Jr.,"PF,C",MEM,65,31,0.467(8.0/17.2),0.796(4.7/5.9),1.9,22.6,5.7,2.2,1.2,1.6,2.3,4.96
30,25,Chet Holmgren,"PF,C",OKC,62,28.4,0.491(5.6/11.4),0.772(2.8/3.6),1.5,15.5,8.4,2.3,0.7,2.3,1.6,4.89
31,19.6,Alperen Sengün,C,HOU,74,32.9,0.538(8.4/15.6),0.702(4.1/5.8),0.5,21.5,10,5.2,1.1,0.9,2.4,4.82
32,26.6,Jalen Johnson,"SF,PF",ATL,65,34.7,0.507(7.0/13.7),0.735(2.2/3.0),1.3,17.4,9.4,4.2,1.4,0.9,2.3,4.77
33,30.9,Josh Giddey,"PG,SG",CHI,72,31.1,0.470(6.3/13.4),0.785(2.2/2.8),1.5,16.4,8,7.6,1.2,0.7,3,4.77
34,35.5,Franz Wagner,"SF,PF",ORL,68,33.1,0.472(8.4/17.8),0.861(4.3/5.0),1.6,22.6,5.7,4.5,1.2,0.4,2.2,4.61
35,51,Jimmy Butler,"SF,PF",GS,58,32.9,0.492(5.4/11.0),0.846(6.0/7.1),0.8,17.7,5.4,5.2,1.4,0.3,1.5,4.54
36,45.8,Kawhi Leonard,"SF,PF",LAC,52,31.1,0.494(7.9/16.0),0.813(2.6/3.2),1.9,20.3,5.5,3.1,1.5,0.7,1.7,4.48
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
37  1,37.3,Dyson Daniels,"PG,SG,SF",ATL,74,32.1,0.478(5.5/11.5),0.641(1.1/1.7),1.1,13.1,5.7,4.3,2.7,0.7,1.9,4.09
38  1,30.5,Jaylen Brown,"SG,SF",BOS,68,33.9,0.468(10.8/23.0),0.750(3.7/4.9),2.2,27.4,7.2,4.7,1.2,0.4,2.6,4.04
39  1,30.5,Pascal Siakam,"PF,C",IND,76,32.9,0.515(9.3/18.0),0.748(4.2/5.6),1.7,24.5,7.1,4.7,0.9,0.4,1.6,3.94
40  2,51.3,Austin Reaves,"PG,SG",LAL,72,33.5,0.469(6.2/13.2),0.865(3.7/4.2),2.3,18.4,4.5,5.8,1,0.3,2.5,3.77
41  2,68.8,Darius Garland,PG,CLE,61,31.4,0.461(7.0/15.2),0.858(2.8/3.3),2.9,19.7,2.8,6.6,1.3,0.1,2.8,3.71
42  2,66.6,Tyler Herro,"PG,SG",MIA,58,33.2,0.461(7.9/17.1),0.866(3.1/3.6),3.1,22,5,5,0.8,0.2,2.4,3.62
43  2,22.7,Paolo Banchero,"PF,C",ORL,63,34.7,0.459(9.3/20.3),0.745(6.2/8.3),2.1,27,8.1,4.9,1,0.7,2.7,3.55
44  7,54.7,Kristaps Porzingis,"PF,C",ATL,49,29.2,0.483(6.5/13.4),0.817(3.8/4.7),2.2,18.9,6.8,2.1,0.7,1.5,1.7,3.47
45  1,41.6,Ja Morant,PG,MEM,57,32.9,0.451(8.5/18.8),0.810(5.6/6.9),1.6,24.2,4.6,7.6,1.1,0.3,3.8,3.39
46  3,42.7,Desmond Bane,"SG,SF",ORL,70,32,0.475(6.9/14.4),0.872(2.5/2.9),2.5,18.7,4.8,4,1,0.4,2.3,3.17
47  3,62.6,Zach LaVine,"PG,SG",SAC,69,34,0.497(7.9/15.8),0.833(3.2/3.8),3,21.9,3.4,4.1,0.8,0.2,2.6,3.17
48  4,43.8,Cooper Flagg,SF,DAL,70,31.4,0.473(6.1/12.9),0.836(3.5/4.2),1.2,16.9,5.3,3.8,1.2,0.8,1.8,3.1
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
49  8,50.4,Joel Embiid,C,PHI,37,29.8,0.447(7.4/16.7),0.863(6.4/7.4),1,22.3,8.1,4,0.6,0.8,3.2,3.09
50  3,32.5,Bam Adebayo,"PF,C",MIA,74,34.2,0.483(7.0/14.5),0.758(3.6/4.7),1.1,18.7,9.8,4.1,1.1,0.7,2.1,3.09
51  4,61,Coby White,"PG,SG",CHI,74,33.8,0.450(6.7/14.9),0.873(3.7/4.3),3.1,20.2,4,4.7,0.8,0.2,2.2,3.04
52  4,64.5,DeMar DeRozan,SF,SAC,74,34.9,0.478(7.6/15.9),0.855(5.4/6.3),0.9,21.5,3.8,4.3,0.9,0.5,1.4,3.04
53  4,37.2,Ivica Zubac,C,LAC,74,29.6,0.636(6.3/9.9),0.688(1.9/2.7),0,14.4,11.1,2.1,0.5,1.2,1.4,2.87
54  4,48.4,Myles Turner,C,MIL,72,29.6,0.483(5.7/11.9),0.777(2.4/3.1),1.9,15.8,6.7,1.5,0.6,1.9,1.6,2.87
55  4,55.1,Jarrett Allen,C,CLE,78,28.2,0.670(5.5/8.2),0.732(2.6/3.6),0,13.6,9.5,2.2,0.8,0.9,1.3,2.75
56  4,55.5,Jalen Duren,C,DET,72,27.6,0.655(5.3/8.1),0.722(2.2/3.1),0,12.9,11.1,2.6,0.6,1,1.9,2.7
57  4,52.8,Deni Avdija,"SF,PF",POR,73,30.1,0.478(6.2/13.0),0.777(4.0/5.1),1.7,18.1,7.9,4.4,1,0.6,2.8,2.68
58  4,65.4,OG Anunoby,"SF,PF",NY,68,34.3,0.480(6.2/12.9),0.794(2.0/2.5),2.2,16.6,4.5,2.2,1.4,0.8,1.5,2.66
59  4,66.3,Michael Porter Jr.,"SF,PF",BKN,79,32.7,0.473(7.5/16.0),0.788(2.2/2.7),3.1,20.3,8.1,2,0.6,0.6,2,2.66
60  4,53,Nikola Vucevic,C,CHI,74,30,0.505(7.0/13.9),0.809(1.4/1.7),1.4,16.9,9.5,2.5,0.7,0.7,1.5,2.64
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
61  4,55.7,Walker Kessler,C,UTA,65,28.2,0.656(4.4/6.8),0.512(1.1/2.2),0.1,10,10.2,1.3,0.5,2.4,1.7,2.64
62  14,83.7,Mark Williams,C,PHO,49,26.7,0.611(5.7/9.4),0.763(2.7/3.5),0,14.1,9.9,2,0.8,1.2,1.4,2.54
63  12,45.8,Zion Williamson,"SF,PF",NO,49,30.1,0.551(9.6/17.5),0.645(5.0/7.8),0.1,24.4,6.5,5.1,1.1,0.7,2.8,2.49
64  10,50.5,Lauri Markkanen,"SF,PF",UTA,49,31,0.453(6.5/14.3),0.887(3.8/4.3),2.9,19.6,6.4,1.7,0.8,0.4,1.3,2.46
65  2,68.5,Deandre Ayton,C,LAL,67,31.3,0.569(6.6/11.5),0.767(1.0/1.3),0.1,14.2,9.4,1.9,0.8,1,1.6,2.43
66  2,93.4,Christian Braun,"SG,SF",DEN,74,33.9,0.542(6.1/11.3),0.817(2.3/2.8),1.2,15.8,5.3,2.8,1,0.6,1.1,2.41
67  2,85.4,Cameron Johnson,"SF,PF",DEN,65,31.6,0.470(5.5/11.8),0.855(2.4/2.8),2.9,16.3,4.2,2.7,1.1,0.4,1.3,2.41
68  2,87,Donovan Clingan,C,POR,70,27.8,0.540(3.8/7.1),0.593(1.3/2.2),0.3,9.3,11.2,1.6,0.7,2.3,1.5,2.33
69  2,66.3,Rudy Gobert,C,MIN,74,33.6,0.664(4.9/7.3),0.653(2.8/4.3),0,12.5,10.7,1.5,0.7,1.5,1.3,2.27
70  2,80,Jakob Poeltl,C,TOR,62,29,0.632(5.8/9.1),0.620(1.5/2.4),0,13,9.2,2.7,1,1.2,1.8,2.26
71  2,72.1,Payton Pritchard,PG,BOS,76,30.3,0.466(5.6/12.1),0.829(0.9/1.1),3.4,15.5,4.2,5.7,0.8,0.2,1.1,2.22
72  2,72.6,Jordan Poole,"PG,SG",NO,72,30.9,0.422(6.6/15.6),0.881(3.0/3.4),2.9,19.2,2.9,4.5,1.2,0.4,2.7,2.06
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
73  2,91.1,John Collins,"PF,C",LAC,70,29.2,0.528(5.9/11.2),0.820(2.5/3.1),1.3,15.6,7.7,1.4,0.7,0.9,1.8,2.03
74  27,127.2,Kyrie Irving,PG,DAL,17,28.5,0.472(7.4/15.6),0.901(2.9/3.2),2.4,20,4,4,1,0.3,1.9,2
75  2,102.6,Jalen Suggs,PG,ORL,65,29.8,0.446(5.3/11.9),0.811(2.1/2.6),2.3,15,3.7,3.5,1.4,0.8,2.3,1.92
76  2,79.4,Isaiah Hartenstein,C,OKC,66,26.6,0.617(4.0/6.4),0.692(1.5/2.1),0,9.4,9.9,3.1,0.9,1.1,1.5,1.81
77  2,66.5,Miles Bridges,"SF,PF",CHA,66,31.4,0.447(7.1/15.8),0.850(2.7/3.2),2.1,18.9,6.8,3.3,0.8,0.5,1.9,1.75
78  2,77.5,Paul George,"SG,SF,PF",PHI,44,31,0.446(6.0/13.5),0.847(2.5/2.9),2.3,16.8,4.4,3.2,1.4,0.4,1.9,1.59
79  1,100.5,CJ McCollum,"PG,SG",WAS,60,31,0.452(7.3/16.1),0.767(1.9/2.5),3.2,19.7,3.9,4.2,0.9,0.5,1.7,1.56
80  1,92.3,Onyeka Okongwu,C,ATL,70,26.7,0.582(4.8/8.2),0.771(2.0/2.6),0.6,12,8.1,1.9,0.7,1,1.1,1.53
81  15,124.5,Jayson Tatum,"SF,PF",BOS,10,26.1,0.461(6.7/14.5),0.823(3.9/4.7),2.4,19.6,6.1,4,0.8,0.4,2,1.5
82,113,Tobias Harris,PF,DET,71,32.2,0.478(5.7/11.9),0.870(2.2/2.5),1.2,14.8,5.9,2.5,1,0.7,1.2,1.49
83,76,Brandon Ingram,"SG,SF,PF",TOR,50,33,0.471(7.1/15.2),0.810(3.3/4.1),1.8,19.4,4.6,4.3,0.8,0.6,2.6,1.42
84,53.4,Brandon Miller,"SF,PF",CHA,60,33.8,0.428(7.0/16.3),0.838(2.2/2.6),3,19.1,4.6,2.8,1,0.6,2.2,1.33
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
85,106.2,Toumani Camara,"SF,PF",POR,74,33,0.455(4.5/9.8),0.738(1.4/1.9),1.9,12.2,6.4,2.5,1.5,0.7,1.6,1.31
86,102.3,Bradley Beal,"SG,SF",LAC,58,30,0.506(6.3/12.5),0.806(1.9/2.4),1.8,16.3,3.6,4,1,0.5,2,1.3
87,116.9,Zach Edey,C,MEM,56,27.2,0.557(4.6/8.2),0.711(1.8/2.5),0.4,11.3,10.2,1.3,0.7,1.4,1.7,1.27
88,90.8,Naz Reid,"PF,C",MIN,80,28.2,0.469(5.7/12.1),0.754(1.5/2.0),2.4,15.2,6.2,2,0.8,1,1.5,1.24
89,78.8,Immanuel Quickley,"PG,SG",TOR,65,30.4,0.433(5.4/12.5),0.856(3.3/3.9),2.7,16.8,3.4,5.5,0.8,0.2,1.7,1.22
90,107.1,Draymond Green,"PF,C",GS,66,28.1,0.456(3.3/7.2),0.702(1.3/1.8),1.1,8.9,6.6,5.8,1.3,1,2.5,1.19
91,121.2,Herbert Jones,"SF,PF",NO,69,31.5,0.453(3.7/8.1),0.858(1.8/2.1),1.3,10.5,4,3.2,1.6,0.6,1.4,1.18
92,70.5,Jalen Green,"PG,SG",PHO,78,32.3,0.423(7.8/18.5),0.808(3.7/4.6),2.9,22.2,5.3,3.8,0.9,0.4,2.6,1.17
93,64.2,Julius Randle,"PF,C",MIN,70,33.8,0.477(6.6/13.8),0.795(4.1/5.2),1.7,18.9,7.4,4.8,0.6,0.2,2.9,1.17
94,54.2,Josh Hart,"SG,SF,PF",NY,76,32.5,0.482(4.1/8.5),0.781(1.5/1.9),1,10.6,8.3,4.6,1.2,0.3,1.6,1.13
95,102.6,Nicolas Claxton,C,BKN,70,27.3,0.596(4.7/7.9),0.535(1.3/2.4),0,10.8,8.4,2.1,0.7,1.7,1.2,1.06
96,80.7,Mikal Bridges,"SF,PF",NY,80,35.2,0.481(6.7/14.0),0.829(1.4/1.7),2.2,17.1,3.7,3.5,0.9,0.4,1.7,1.05
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
97,116.5,Dereck Lively II,C,DAL,65,25.3,0.700(4.3/6.2),0.635(1.4/2.2),0,10.1,7.8,1.7,0.7,1.5,1.1,1.04
98,104.2,Andrew Wiggins,"SG,SF",MIA,68,30.9,0.451(6.7/14.8),0.757(3.1/4.1),2.2,18.6,5.4,3.1,0.9,0.8,1.7,1.02
99,140.7,Keon Ellis,"PG,SG",SAC,72,27.2,0.481(3.1/6.5),0.816(0.9/1.1),2,9.2,3.2,1.9,1.6,0.9,1,1.02
100,84.9,Ausar Thompson,"SF,PF",DET,67,29.3,0.522(5.0/9.6),0.649(1.7/2.7),0.3,12,6.9,2.6,1.7,1,1.6,1.01
101,80.8,Cam Thomas,"SG,SF",BKN,60,31.3,0.441(8.1/18.3),0.865(4.7/5.4),2.4,23.1,3.3,3.2,0.7,0.2,2.1,1.01
102,135.9,Aaron Nesmith,SF,IND,68,30,0.500(4.9/9.9),0.829(1.8/2.1),2.2,13.8,4.4,1.6,1,0.6,1,0.97
103,109.9,D'Angelo Russell,PG,DAL,67,29.1,0.431(5.5/12.7),0.832(2.1/2.5),2.5,15.6,3,5.8,0.9,0.4,2,0.9
104,86,Kel'el Ware,"PF,C",MIA,69,27,0.559(5.0/8.9),0.688(0.9/1.3),0.7,11.4,8.6,1.1,0.7,1.1,1.1,0.83
105,92.9,Matas Buzelis,"SF,PF",CHI,78,28.7,0.461(5.2/11.3),0.819(1.8/2.2),1.9,14.1,5.6,1.7,0.6,1.3,1.5,0.78
106,136.7,Isaiah Jackson,C,IND,60,24.9,0.614(4.2/6.9),0.661(2.0/3.0),0,10.4,7,1.4,1,1.7,1.2,0.73
107,101.6,Devin Vassell,"SG,SF",SA,66,32,0.458(6.4/13.9),0.800(1.8/2.3),2.3,16.9,3.7,3.3,1.1,0.4,1.4,0.71
108,88.4,Anfernee Simons,"PG,SG",BOS,68,31.1,0.441(6.3/14.3),0.908(2.5/2.7),3.3,18.4,2.6,4,0.6,0.1,2,0.56
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
109,122.2,Donte DiVincenzo,"PG,SG",MIN,70,27.5,0.436(4.9/11.2),0.766(1.0/1.2),3.2,13.9,3.7,3.1,1.3,0.4,1.5,0.52
110,105.6,Keegan Murray,"SF,PF",SAC,76,34,0.449(5.2/11.5),0.840(1.1/1.3),2.2,13.6,5.9,1.5,0.9,0.8,0.8,0.51
111,115.2,Jrue Holiday,"PG,SG",POR,60,30.7,0.444(4.2/9.5),0.875(1.0/1.1),1.9,11.3,4.6,4.6,1,0.6,1.5,0.51
112,139.6,Neemias Queta,"PF,C",BOS,68,25.2,0.625(4.0/6.4),0.741(1.4/1.9),0,9.4,7.6,1.4,0.7,1.3,1.1,0.5
113,142,Kyshawn George,"SG,SF",WAS,70,27.5,0.417(4.4/10.4),0.765(1.3/1.7),2.1,12.1,5.3,3.1,1.2,0.9,1.8,0.48
114,122.8,Tari Eason,"SF,PF",HOU,58,25.4,0.473(4.7/9.9),0.730(1.4/1.9),1.1,11.8,7,1.5,1.4,0.9,1.2,0.42
115,110.2,Jaden McDaniels,"SF,PF",MIN,76,31.6,0.482(5.0/10.3),0.781(1.1/1.5),1.3,12.4,5.3,1.9,1.2,0.8,1.3,0.36
116  1,110.1,Santi Aldama,"PF,C",MEM,68,27.9,0.472(5.0/10.6),0.705(1.1/1.6),2,13.1,6.6,2.8,0.8,0.7,1.2,0.25
117  1,139.6,Obi Toppin,PF,IND,80,25.3,0.551(5.1/9.2),0.778(1.3/1.7),1.7,13.1,5,2,0.7,0.6,1.1,0.25
118  2,131.6,Dejounte Murray,"PG,SG",NO,31,28.2,0.435(6.1/14.1),0.802(2.2/2.8),1.6,16.1,4.4,5.3,1.3,0.3,2.2,0.24
119,132.3,Daniel Gafford,C,DAL,60,22,0.677(4.2/6.2),0.684(1.7/2.5),0,10.1,6.6,1.3,0.6,1.5,0.9,0.19
120,131,T.J. McConnell,PG,IND,54,22.1,0.537(5.4/10.0),0.757(0.9/1.2),0.3,11.9,3.2,6.1,1.3,0.2,1.8,0.19
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
121,142.1,Taylor Hendricks,"SF,PF",UTA,58,27.2,0.450(3.7/8.1),0.800(1.1/1.4),1.7,10.1,6.3,1.1,1,1.1,0.9,0.18
122,120.2,Malik Monk,SG,SAC,68,28.8,0.442(5.6/12.7),0.846(2.3/2.7),2,15.5,3.2,5.1,0.7,0.5,2.2,0.17
123,144,Davion Mitchell,PG,MIA,73,29.3,0.461(4.3/9.3),0.759(1.1/1.4),1.6,11.3,3.1,6,1.4,0.2,2,0.14
124,118.4,Bobby Portis,"PF,C",MIL,65,24.9,0.491(5.8/11.7),0.809(1.2/1.5),1.3,14,7.9,1.6,0.8,0.5,1.1,0.11
125,138.4,Collin Sexton,"PG,SG",CHA,70,27.3,0.484(6.1/12.5),0.861(3.5/4.1),1.6,17.2,2.5,3.7,0.7,0.2,2.1,-0.13
126,118.5,Kevin Porter Jr.,"PG,SG",MIL,75,29.8,0.449(5.4/12.0),0.772(2.4/3.1),1,14.2,5.1,4.7,1.5,0.2,2.5,-0.14
127,124.8,Cason Wallace,"PG,SG",OKC,72,28.5,0.482(3.6/7.5),0.800(0.5/0.6),1.4,9.1,3.4,2.4,1.6,0.6,0.8,-0.16
128,75.3,Andrew Nembhard,"PG,SG",IND,69,30.9,0.464(4.6/10.0),0.797(1.9/2.3),1.2,12.3,3.1,5.8,1.3,0.2,1.9,-0.19
129,90.3,Norman Powell,"SG,SF",MIA,68,30.3,0.480(6.2/12.9),0.812(2.7/3.3),2.6,17.7,2.9,1.6,0.9,0.2,1.3,-0.23
130  1,121,Brandin Podziemski,"PG,SG",GS,70,30.3,0.450(4.7/10.4),0.696(1.0/1.5),2,12.4,5.8,4,1.2,0.2,1.4,-0.29
131  1,96.8,Shaedon Sharpe,"SG,SF",POR,70,32.2,0.447(6.8/15.1),0.797(2.8/3.6),2.2,18.6,4.8,3.1,0.9,0.3,2.2,-0.31
132  1,139.4,Ayo Dosunmu,"SG,SF",CHI,65,30.4,0.498(5.0/9.9),0.796(1.3/1.6),1.5,12.7,3.2,3.8,1,0.5,1.5,-0.31
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
133  3,,Robert Williams III,C,POR,30,17.6,0.644(2.5/3.9),0.847(0.8/1.0),0,5.9,5.9,1,0.8,1.5,0.9,-0.33
134,142.2,Kelly Oubre Jr.,"SF,PF",PHI,64,32.4,0.454(5.8/12.8),0.752(2.5/3.3),1.4,15.5,5.6,1.7,1.3,0.6,1.3,-0.4
