INDEX,PLAYER
10001,Nikola Jokic
10002,Shai Gilgeous-Alexander
10003,Victor Wembanyama
10004,Luka Doncic
10005,Giannis Antetokounmpo
10006,Anthony Davis
10007,Cade Cunningham
10008,Anthony Edwards
10009,Karl-Anthony Towns
10010,James Harden
10011,Devin Booker
10012,Trae Young
10013,Kevin Durant
10014,Tyrese Maxey
10015,Stephen Curry
10016,Domantas Sabonis
10017,LaMelo Ball
10018,Donovan Mitchell
10019,LeBron James
10020,Evan Mobley
10021,Derrick White
10022,Jamal Murray
10023,Jalen Brunson
10024,Amen Thompson
10025,Scottie Barnes
10026,De'Aaron Fox
10027,Jalen Williams
10028,Trey Murphy III
10029,Jaren Jackson Jr.
10030,Chet Holmgren
10031,Alperen Sengün
10032,Jalen Johnson
10033,Josh Giddey
10034,Franz Wagner
10035,Jimmy Butler
10036,Kawhi Leonard
10037,Dyson Daniels
10038,Jaylen Brown
10039,Pascal Siakam
10040,Austin Reaves
10041,Darius Garland
10042,Tyler Herro
10043,Paolo Banchero
10044,Kristaps Porzingis
10045,Ja Morant
10046,Desmond Bane
10047,Zach LaVine
10048,Cooper Flagg
10049,Joel Embiid
10050,Bam Adebayo
10051,Coby White
10052,DeMar DeRozan
10053,Ivica Zubac
10054,Myles Turner
10055,Jarrett Allen
10056,Jalen Duren
10057,Deni Avdija
10058,OG Anunoby
10059,Michael Porter Jr.
10060,Nikola Vucevic
10061,Walker Kessler
10062,Mark Williams
10063,Zion Williamson
10064,Lauri Markkanen
10065,Deandre Ayton
10066,Christian Braun
10067,Cameron Johnson
10068,Donovan Clingan
10069,Rudy Gobert
10070,Jakob Poeltl
10071,Payton Pritchard
10072,Jordan Poole
10073,John Collins
10074,Kyrie Irving
10075,Jalen Suggs
10076,Isaiah Hartenstein
10077,Miles Bridges
10078,Paul George
10079,CJ McCollum
10080,Onyeka Okongwu
10081,Jayson Tatum
10082,Tobias Harris
10083,Brandon Ingram
10084,Brandon Miller
10085,Toumani Camara
10086,Bradley Beal
10087,Zach Edey
10088,Naz Reid
10089,Immanuel Quickley
10090,Draymond Green
10091,Herbert Jones
10092,Jalen Green
10093,Julius Randle
10094,Josh Hart
10095,Nic Claxton
10096,Mikal Bridges
10097,Dereck Lively II
10098,Andrew Wiggins
10099,Keon Ellis
10100,Ausar Thompson
10101,Cam Thomas
10102,Aaron Nesmith
10103,D'Angelo Russell
10104,Kel'el Ware
10105,Matas Buzelis
10106,Isaiah Jackson
10107,Devin Vassell
10108,Anfernee Simons
10109,Donte DiVincenzo
10110,Keegan Murray
10111,Jrue Holiday
10112,Neemias Queta
10113,Kyshawn George
10114,Tari Eason
10115,Jaden McDaniels
10116,Santi Aldama
10117,Obi Toppin
10118,Dejounte Murray
10119,Daniel Gafford
10120,T.J. McConnell
10121,Taylor Hendricks
10122,Malik Monk
10123,Davion Mitchell
10124,Bobby Portis
10125,Collin Sexton
10126,Kevin Porter Jr.
10127,Cason Wallace
10128,Andrew Nembhard
10129,Norman Powell
10130,Brandin Podziemski
10131,Shaedon Sharpe
10132,Ayo Dosunmu
10133,Robert Williams III
10134,Kelly Oubre Jr.
10135,Jaden Ivey
10136,Kon Knueppel
10137,Bilal Coulibaly
10138,Bub Carrington
10139,Jerami Grant
10140,Alex Sarr
10141,Chris Paul
10142,Jabari Smith Jr.
10143,Fred VanVleet
10144,Bennedict Mathurin
10145,Klay Thompson
10146,Aaron Gordon
10147,Jay Huff
10148,VJ Edgecombe
10149,Dylan Harper
10150,Al Horford
10151,Scoot Henderson
10152,Kris Dunn
10153,Rui Hachimura
10154,De'Andre Hunter
10155,Caris LeVert
10156,Adem Bona
10157,Mitchell Robinson
10158,Lonzo Ball
10159,Sam Hauser
10160,Jaylen Wells
10161,Mike Conley
10162,Kentavious Caldwell-Pope
10163,Grayson Allen
10164,Russell Westbrook
10165,Marcus Smart
10166,Luguentz Dort
10167,P.J. Washington
10168,Khris Middleton
10169,Scotty Pippen Jr.
10170,Alex Caruso
10171,Keyonte George
10172,Kyle Filipowski
10173,Ty Jerome
10174,Nikola Jovic
10175,Cole Anthony
10176,Brook Lopez
10177,Moussa Diabaté
10178,Yves Missi
10179,Gary Trent Jr.
10180,Ryan Dunn
10181,Jared McCain
10182,Royce O'Neale
10183,Brice Sensabaugh
10184,Duncan Robinson
10185,Moritz Wagner
10186,Aaron Wiggins
10187,RJ Barrett
10188,Stephon Castle
10189,Dillon Brooks
10190,Quentin Grimes
10191,Miles McBride
10192,Naji Marshall
10193,PLAYER
10194,Reed Sheppard
10195,Wendell Carter Jr.
10196,Chris Boucher
10197,Jonathan Kuminga
10198,Buddy Hield
10199,Ace Bailey
10200,Luke Kornet
10201,Ziaire Williams
10202,Kevin Huerter
10203,Harrison Barnes
10204,Ryan Rollins
10205,Zaccharie Risacher
10206,Matisse Thybulle
10207,Walter Clayton Jr.
10208,Dennis Schröder
10209,Anthony Black
10210,Zach Collins
10211,Cam Whitmore
10212,Bruce Brown
10213,Taurean Prince
10214,Sam Merrill
10215,Keldon Johnson
10216,Max Strus
10217,Jeremy Sochan
10218,Dorian Finney-Smith
10219,Egor Demin
10220,Nickeil Alexander-Walker
10221,Luke Kennard
10222,Tyus Jones
10223,Moses Moody
10224,Jonathan Isaac
10225,Jeremiah Fears
10226,Goga Bitadze
10227,Jonas Valanciunas
10228,Jordan Clarkson
10229,Isaiah Collier
10230,Day'Ron Sharpe
10231,Andre Drummond
10232,Derrick Jones Jr.
10233,Guerschon Yabusele
10234,Collin Murray-Boyles
10235,Nick Richards
10236,Jose Alvarado
10237,Mason Plumlee
10238,AJ Green
10239,Justin Champagnie
10240,Dennis Smith Jr.
10241,Karlo Matkovic
10242,Chimezie Metu
10243,Peyton Watson
10244,Gradey Dick
10245,Jake LaRavia
10246,Isaiah Stewart
10247,Kyle Kuzma
10248,Brandon Clarke
10249,Jarace Walker
10250,Precious Achiuwa
10251,Tre Jones
10252,Tim Hardaway Jr.
10253,Vít Krejcí
10254,Derik Queen
10255,Tristan Vukcevic
10256,Bogdan Bogdanovic
10257,Haywood Highsmith
10258,Ben Simmons
10259,Cody Martin
10260,Vince Williams Jr.
10261,Hansen Yang
10262,Josh Minott
10263,Terance Mann
10264,Kelly Olynyk
10265,Isaiah Joe
10266,Patrick Williams
10267,Marcus Sasser
10268,Cedric Coward
10269,Jaime Jaquez Jr.
10270,Tre Johnson
10271,Gary Payton II
10272,Julian Champagnie
10273,Jordan Hawkins
10274,Mouhamed Gueye
10275,Jordan Goodwin
10276,Amir Coffey
10277,Dean Wade
10278,Paul Reed
10279,Isaac Okoro
10280,Ryan Kalkbrenner
10281,Khaman Maluach
10282,Trendon Watford
10283,Jusuf Nurkic
10284,Corey Kispert
10285,Jonathan Mogbo
10286,Lonnie Walker IV
10287,Jarred Vanderbilt
10288,Ben Sheppard
10289,Jalen Smith
10290,Malcolm Brogdon
10291,Josh Richardson
10292,Luka Garza
10293,Max Christie
10294,Cameron Payne
10295,Alec Burks
10296,Ochai Agbaji
10297,Tre Mann
10298,Trey Lyles
10299,Quinten Post
10300,John Konchar
10301,Richaun Holmes
10302,Christian Wood
10303,Julian Strawther
10304,Thomas Bryant
10305,Kevon Looney
10306,Dalano Banton
10307,Nicolas Batum
10308,Noah Clowney
10309,Clint Capela
10310,Drew Eubanks
10311,Daniel Theis
10312,Talen Horton-Tucker
10313,Jaylin Williams
10314,Kasparas Jakucionis
10315,Jordan Nwora
10316,Tristan Da Silva
10317,Trayce Jackson-Davis
10318,Larry Nance Jr.
10319,Kenrich Williams
10320,Cedi Osman
10321,Steven Adams
10322,Carter Bryant
10323,Xavier Tillman Sr.
10324,Jaxson Hayes
10325,Josh Green
10326,Georges Niang
10327,Spencer Dinwiddie
10328,Jamison Battle
10329,Marvin Bagley III
10330,Kai Jones
10331,Ron Holland II
10332,Keaton Wallace
10333,Kyle Anderson
10334,Jamal Shead
10335,Mo Bamba
10336,Dante Exum
10337,Sandro Mamukelashvili
10338,Charles Bassey
10339,Bol Bol
10340,Johnny Furphy
10341,Reggie Jackson
10342,Terry Rozier
10343,Javonte Green
10344,Garrison Mathews
10345,Aaron Holiday
10346,Oso Ighodaro
10347,Johnny Juzang
10348,Gary Harris
10349,Vasilije Micic
10350,Jalen Wilson
10351,Saddiq Bey
10352,Rasheer Fleming
10353,DaRon Holmes II
10354,Seth Curry
10355,Tony Bradley
10356,Rob Dillingham
10357,Gabe Vincent
10358,Jeremiah Robinson-Earl
10359,Bismack Biyombo
10360,Andre Jackson Jr.
10361,Nique Clifford
10362,Simone Fontecchio
10363,Terrence Shannon Jr.
10364,James Wiseman
10365,Brandon Boston Jr
10366,Craig Porter Jr.
10367,GG Jackson II
10368,Maxi Kleber
10369,Delon Wright
10370,Caleb Martin
10371,Keon Johnson
10372,Dalen Terry
10373,Grant Williams
10374,Malik Beasley
10375,Ajay Mitchell
10376,Zavier Simpson
10377,Tidjane Salaun
10378,Josh Okogie
10379,Jeff Dowtin Jr.
10380,Jared Rhoden
10381,Shake Milton
10382,Dalton Knecht
10383,Jaden Hardy
10384,Tyrese Martin
10385,Bones Hyland
10386,Evan Fournier
10387,Trey Jemison
10388,Markelle Fultz
10389,Bruno Fernando
10390,Maxime Raynaud
10391,Cam Reddish
10392,Noa Essengue
10393,Collin Gillespie
10394,Jae'Sean Tate
10395,Jock Landale
10396,Derrick Rose
10397,Pat Connaughton
10398,Marcus Morris Sr.
10399,Julian Phillips
10400,Ricky Council IV
10401,Jared Butler
10402,Blake Wesley
10403,AJ Johnson
10404,Nikola Topic
10405,Devin Carter
10406,Jaylen Clark
10407,Lamar Stevens
10408,Oscar Tshiebwe
10409,Landry Shamet
10410,Drake Powell
10411,Eric Gordon
10412,Monte Morris
10413,Kris Murray
10414,PJ Hall
10415,Micah Potter
10416,Jase Richardson
10417,Dru Smith
10418,Nolan Traoré
10419,Jae Crowder
10420,Malaki Branham
10421,Alijah Martin
10422,Ja'Kobe Walter
10423,De'Anthony Melton
10424,Jett Howard
10425,Cody Williams
10426,Baylor Scheierman
10427,Branden Carlson
10428,Jordan Walsh
10429,Chuma Okeke
10430,Malachi Flynn
10431,Justin Edwards
10432,Jabari Walker
10433,Duop Reath
10434,Danny Wolf
10435,Anthony Gill
10436,Gui Santos
10437,David Roddy
10438,Johni Broome
10439,Thomas Sorber
10440,Jericho Sims
10441,Lindy Waters III
10442,Bojan Bogdanovic
10443,Oshae Brissett
10444,Kessler Edwards
10445,Trevelin Queen
10446,Christian Koloko
10447,Ousmane Dieng
10448,Kyle Lowry
10449,Kevin Love
10450,Jamal Cain
10451,Svi Mykhailiuk
10452,Caleb Houstan
10453,Asa Newell
10454,Micah Peavy
10455,Patty Mills
10456,Jaden Springer
10457,Nick Smith Jr.
10458,Elfrid Payton
10459,Alex Len
10460,Killian Hayes
10461,A.J. Lawson
10462,Cory Joseph
10463,Leonard Miller
10464,JT Thor
10465,Lester Quinones
10466,Marcus Bagley
10467,Keion Brooks Jr.
10468,Patrick Baldwin Jr.
10469,Taj Gibson
10470,Dwight Powell
10471,Cam Spencer
10472,Zeke Nnaji
10473,Dario Saric
10474,Kenyon Martin Jr.
10475,Jaylon Tyson
10476,P.J. Tucker
10477,Kobe Bufkin
10478,Wendell Moore Jr.
10479,Ariel Hukporti
10480,Doug McDermott
10481,Yanic Konan Niederhauser
10482,Kevin Knox II
10483,Liam McNeeley
10484,Pelle Larsson
10485,Noah Penda
10486,Rayan Rupert
10487,Isaac Jones
10488,Bronny James
10489,Chris Duarte
10490,Brandon Williams
10491,MarJon Beauchamp
10492,Torrey Craig
10493,Hugo González
10494,Quenton Jackson
10495,Jordan McLaughlin
10496,RayJ Dennis
10497,Dillon Jones
10498,Jaylen Nowell
10499,Joan Beringer
10500,Jevon Carter
10501,Johnny Davis
10502,Bryce McGowens
10503,Chaz Lanier
10504,Will Riley
10505,Tristan Thompson
10506,Kylor Kelley
10507,Tolu Smith
10508,Daeqwon Plowden
10509,Dariq Whitehead
10510,Colin Castleton
10511,Colby Jones
10512,Nae'Qwan Tomlin
10513,Dominick Barlow
10514,Kobe Brown
10515,Maxwell Lewis
10516,Reece Beekman
10517,Garrett Temple
10518,Hunter Tyson
10519,Olivier-Maxence Prosper
10520,Tosan Evbuomwan
10521,Jalen Pickett
10522,KJ Simpson
10523,Damion Baugh
10524,Yuki Kawamura
10525,Isaiah Mobley
10526,Jackson Rowe
10527,Adou Thiero
10528,Antonio Reeves
10529,Sion James
10530,Tyler Smith
10531,Cole Swider
10532,Jeff Green
10533,Drew Timme
10534,Jaylen Martin
10535,Jordan Miller
10536,Tyson Etienne
10537,Jalen Hood-Schifino
10538,Taze Moore
10539,Joe Ingles
10540,Orlando Robinson
10541,Jamaree Bouyea
10542,Ron Harper Jr.
10543,DeAndre Jordan
10544,Jacob Toppin
10545,James Johnson
10546,Chris Livingston
10547,Ryan Nembhard